Tot_sales,Tot_amount,Avg_review,Avg_delivery,Tot_sales_Quartile,Avg_review_Quartile,Tot_amount_Quartile,Avg_delivery_Quartile,SellerScore
532,25167.420000000107,3.8214285714285716,2.331349907694074,4,2,4,3,4423
3,747.0,2.3333333333333335,6.333333333333333,2,1,2,1,2211
1,120.0,5.0,0.0,1,4,1,4,1144
1,201.9,1.0,19.0,1,1,1,1,1111
4,896.0,3.75,2.8195377233118384,2,2,3,2,2322
2,380.0,1.0,3.278150893247353,1,1,2,2,1212
9,1796.1999999999998,4.0,6.888888888888889,3,2,3,1,3321
16,2877.7000000000003,4.25,4.75,3,3,3,1,3331
25,1733.7500000000002,3.88,2.32,4,2,3,3,4323
1,28.8,1.0,3.278150893247353,1,1,1,2,1112
10,2943.5099999999998,3.9,2.3,3,2,3,3,3323
1,279.0,5.0,4.0,1,4,2,2,1242
1,139.9,4.0,7.0,1,2,1,1,1121
4,178.0,5.0,2.5,2,4,1,3,2143
180,23523.500000000044,4.161111111111111,3.9959897271847074,4,3,4,2,4432
2,60.0,3.0,3.278150893247353,1,1,1,2,1112
1,80.0,5.0,0.0,1,4,1,4,1144
30,4661.0,3.566666666666667,1.4333333333333333,4,1,4,4,4414
10,311.1,4.3,1.8,3,3,2,4,3234
2,139.8,5.0,5.5,1,4,1,1,1141
11,2243.9000000000005,3.6363636363636362,2.909090909090909,3,1,3,2,3312
8,308.9,4.625,2.5,2,4,2,3,2243
1,699.42,1.0,13.0,1,1,2,1,1211
118,14809.299999999977,4.11864406779661,2.042372881355932,4,2,4,3,4423
1,49.7,5.0,4.0,1,4,1,2,1142
5,1109.5,2.0,1.2,2,1,3,4,2314
11,2636.7400000000002,4.363636363636363,6.909090909090909,3,3,3,1,3331
61,3426.389999999995,4.081967213114754,1.8032786885245902,4,2,4,4,4424
19,1914.8300000000002,3.3684210526315788,9.555594830868143,3,1,3,1,3311
33,3987.6000000000017,4.242424242424242,1.7272727272727273,4,3,4,4,4434
86,5027.679999999993,4.5813953488372094,5.398583149921481,4,3,4,1,4431
9,834.4,4.888888888888889,3.888888888888889,3,4,3,2,3342
5,1039.95,3.6,8.0,2,1,3,1,2311
220,9553.619999999968,4.163636363636364,3.9045454545454548,4,3,4,2,4432
22,2461.4099999999994,4.545454545454546,2.772727272727273,3,3,3,2,3332
3,183.0,4.333333333333333,1.3333333333333333,2,3,1,4,2134
12,10173.11,4.333333333333333,3.1666666666666665,3,3,4,2,3432
178,26133.560000000012,3.943820224719101,4.837078651685394,4,2,4,1,4421
1,97.9,5.0,3.0,1,4,1,2,1142
1,24.9,5.0,3.0,1,4,1,2,1142
4,1520.0,4.5,4.069537723311838,2,3,3,1,2331
137,13341.569999999992,2.18978102189781,5.49838066345436,4,1,4,1,4411
37,917.6,4.54054054054054,2.3513513513513513,4,3,3,3,4333
3,90.0,5.0,2.0,2,4,1,3,2143
12,1045.47,4.25,4.25,3,3,3,1,3331
9,785.9699999999999,3.7777777777777777,2.6666666666666665,3,2,2,3,3223
2,165.8,5.0,2.0,1,4,1,3,1143
5,825.0,5.0,3.2,2,4,3,2,2342
44,2563.0000000000014,3.727272727272727,2.1136363636363638,4,2,3,3,4323
2,61.0,5.0,1.5,1,4,1,4,1144
3,3747.0,3.6666666666666665,4.666666666666667,2,1,4,1,2411
2,36.49,3.5,1.0,1,1,1,4,1114
4,166.88000000000002,3.5,3.5,2,1,1,2,2112
5,1148.0,3.2,5.0,2,1,3,1,2311
12,612.7999999999998,4.5,2.0,3,3,2,3,3233
43,2323.300000000001,4.3023255813953485,1.697674418604651,4,3,3,4,4334
17,516.04,4.235294117647059,1.7647058823529411,3,3,2,4,3234
